ID|Corporation Name|Month Of Contribution|Due Date|Date Filed|Amount|Status|Reduced|Order Signed|Date Paid|Interest Paid
3888|Constructors Bonding, Inc.|July|2012-08-10|2012-08-24|350.00|REDUCED|0.00|2012-09-04||
3904|Gtech Corporation|March|2012-04-10|2012-11-13|750.00|PAID|||2012-11-13|
3908|AFLAC|August|2012-09-10|2012-11-09|750.00|PAID|||2012-11-28|
3915|PIC USA, Inc.|May|2012-06-11|2012-11-15|750.00|REDUCED|0.00|2012-11-21||
3920|Curtiss.org|July|2012-08-10|2012-12-10|750.00|REDUCED|0.00|2012-12-21||
3922|The James Skinner Company|August|2012-09-10|2012-12-06|750.00|REDUCED|0.00|2012-12-14||
3932|The Benefit Group|October|2012-11-12|2013-02-04|750.00|REDUCED|0.00|2013-02-14||
3945|JEO Consulting Group, Inc.|September|2012-10-10|2013-02-19|750.00|REDUCED|0.00|2013-03-06||
3953|Cedar Construction Company, Inc.|October|2012-11-13|2013-03-06|750.00|REDUCED|0.00|2013-03-22||
3965|Omaha State Bank|July|2012-08-10|2013-03-18|750.00|REDUCED|0.00|2013-04-01||
3972|Firstar Fiber, Inc.|February|2013-03-11|2013-04-15|750.00|REDUCED|0.00|2013-05-02||
3979|Mulhall's Nursery, Inc.|January|2013-02-11|2013-04-01|750.00|REDUCED|0.00|2013-04-24||
4024|3M Company|October|2013-11-13|2013-06-25|750.00|REDUCED|0.00|2013-07-15||
3983|Pella Products (WDD INC)|October|2012-11-13|2013-03-28|750.00|REDUCED|0.00|2013-04-17||
3984|Sevenings Lawn & Landscape|February|2013-03-11|2013-04-02|550.00|REDUCED|0.00|2013-04-15||
3985|Slate Architecture|September|2012-10-10|2013-04-17|750.00|REDUCED|0.00|2013-04-25||
4035|Kabredlo's Property, Inc.|February|2013-03-11|2013-07-08|750.00|REDUCED|0.00|2013-07-14||
3996|Asbestos Workers Local #39|March|2013-04-10|2013-04-30|500.00|REDUCED|0.00|2013-05-13||
4005|Ron Romero Consulting, Inc.|January|2013-04-10|2013-05-03|575.00|RED/PAID|25.00|2013-05-23|2013-05-23|
4016|Housley Brothers, Inc.|April|2013-05-10|2013-05-20|250.00|REDUCED|0.00|2013-05-31||
4036|Lockwood Development, Inc.|March|2013-04-10|2013-07-05|750.00|PAID|||2013-07-05|
4037|McNeil Industries, Inc.|May|2013-06-10|2013-07-11|750.00|RED/PAID|25.00|2013-08-22|2013-08-22|
4041|Union Pacific Railroad|January|2013-09-10|2013-06-25|750.00|PAID|||2013-08-14|
4044|Falcone Developers|May|2013-06-10|2013-07-18|750.00|REDUCED|0.00|2013-07-29||
4052|O'Brien Industries|May|2013-06-11|2013-07-23|750.00|REDUCED|0.00|2013-08-09||
4053|ConAgra Foods, Inc.|May|2013-06-11|2013-07-09|750.00|PAID|||2013-08-27|
4054|Dell Enterprises, Inc.|May|2013-06-10|2013-08-07|750.00|REDUCED|0.00|2013-08-16||
4060|Conklin Company, Inc.|July|2013-08-12|2013-09-09|700.00|REDUCED|0.00|2013-09-30||
4078|DLR Group, Inc.|September|2013-10-10|2013-11-19|750.00|PAID|||2013-11-19|
4062|L & L Custom Builders, Inc.|July|2013-08-12|2013-08-28|400.00|RED/PAID|25.00|2013-09-19|2013-09-09|
4064|NE Hospital Association|August|2013-09-19|2013-09-12|50.00|REDUCED|0.00|2013-09-19||
4069|Lamar Companies, The|January|2013-10-10|2013-11-21|750.00|REDUCED|0.00|2013-12-09||
4085|Cutchall Management Company|October|2013-11-12|2013-12-28|750.00|REDUCED|0.00|2014-02-07||
4089|Kester Brothers|January|2014-01-10|2014-01-30|500.00|REDUCED|0.00|2014-02-21||
4092|Lund Company Investment|September|2013-10-10|2014-01-07|750.00|RED/PAID|25.00|2014-03-07|2014-03-03|
4095|Pinnacle Bank (Lincoln)|December|2014-01-10|2014-01-28|450.00|PAID|||2014-02-26|
4106|Sono Farms, Inc.|November|2013-12-10|2014-01-30|750.00|REDUCED|0.00|2014-02-19||
4110|American Exchange Company|December|2014-01-10|2014-01-29|475.00|REDUCED|0.00|2014-02-19||
4115|NE State AFL-CIO|December|2014-01-10|2014-01-16|150.00|PAID|||2014-03-05|
4119|Clark Architects Collaborative|November|2013-12-10|2014-02-03|750.00|REDUCED|0.00|2014-03-11||
4121|Duncan Aviation|October|2013-11-12|2014-02-11|750.00|PAID|||2014-04-07|
4123|First State Bank Nebraska|November|2013-12-10|2014-02-13|750.00|REDUCED|0.00|2014-03-04||
4125|Fraternal Order of Police Lodge #8|December|2014-01-10|2014-02-06|675.00|PAID|||2014-03-11|
4129|McCoy International|December|2014-01-10|2014-02-19|750.00|REDUCED|0.00|2014-02-28||
4130|Murdoch Enterprises, Inc.|August|2014-09-10|2014-01-23|750.00|REDUCED|0.00|2014-02-20||
4133|Rent-A-Center Inc.|December|2013-01-10|2014-02-19|750.00|REDUCED|0.00|2014-04-10||
4139|Western Insurors of Nebraska|December|2014-01-10|2014-02-03|600.00|REDUCED|0.00|2014-05-08||
4143|Bison, Inc.|January|2014-02-10|2014-03-04|550.00|REDUCED|0.00|2014-03-19||
4144|Brock Law Offices PC, LLO|November|2013-12-10|2014-02-25|750.00|REDUCED|0.00|2014-03-17||
4157|L.P. Gill, Inc.|September|2013-10-10|2014-03-04|750.00|REDUCED|0.00|2014-03-19||
4186|Coventry Health Care of NE, Inc.|September|2103-10-10|2014-03-14|750.00|PAID|||2014-05-02|
4187|Coventry Health Care of Nebraska, Inc.|December|2014-01-10|2014-03-14|750.00|PAID|||2014-05-02|
4192|Melton Law Office, PC, LLO|February|2014-03-10|2014-03-12|50.00|PAID|||2014-04-29|
4194|NE Retail Federation|December|2014-01-10|2014-03-13|750.00|REDUCED|0.00|2014-04-08||
4239|Professional Business Services|May|2013-06-10|2014-04-07|750.00|REDUCED|0.00|2014-05-15||
4212|Monsanto Company - IA|December|2013-01-10|2014-03-17|750.00|REDUCED|0.00|2014-07-01||
4220|Readytech-Go, Inc. dba RTG medical|April|2013-05-10|2014-03-12|750.00|REDUCED|0.00|2014-04-17||
4222|Telecare Corporation|November|2013-12-10|2014-03-31|750.00|REDUCED|0.00|2014-04-18||
4225|Wicked Smoke|April|2013-05-10|2014-03-25|750.00|REDUCED|0.00|2014-04-10||
4242|Beatrice Family Chiropractic PC|March|2014-04-10|2014-04-18|200.00|REDUCED|0.00|2014-06-04||
4250|Roloff Construction Company|March|2014-04-10|2014-04-29|475.00|PAID|||2014-06-02|
4258|Celebrity Homes, Inc.|March|2014-04-10|2014-04-28|450.00|REDUCED|0.00|2014-05-27||
4266|Goeking, Inc.|March|2014-04-10|2014-05-16|750.00|REDUCED|0.00|2014-05-28||
4267|Gothenburg State Bank|December|2014-01-10|2014-05-19|750.00|REDUCED|0.00|2014-06-04||
4268|Husch Blackwell LLP|January|2014-03-10|2014-05-19|750.00|REDUCED|0.00|2014-05-30||
4269|On Track|January|2014-05-12|2014-05-15|75.00|REDUCED|0.00|2014-06-09||
4276|Webequity Solutions, LLC|January|2014-05-12|2014-05-21|225.00|REDUCED|0.00|2014-06-09||
4279|Grosch Irrigation Company, Inc.|April|2014-05-12|2014-05-19|175.00|REDUCED|0.00|2014-06-02||
4284|Wakefield Insurance Agency|March|2014-04-10|2014-05-19|750.00|REDUCED|0.00|2014-06-02||
4290|Chocolate Cake LLC|February|2014-03-10|2014-05-29|750.00|REDUCED|0.00|2014-06-06||
4297|Northern Natural Gas Company|February|2014-03-10|2014-05-30|750.00|REDUCED|0.00|2014-06-06||
4301|IBEW Local 1920|January|2014-04-10|2014-06-04|750.00|REDUCED|0.00|2014-06-12||
4302|J.G. Elliott Company|January|2014-02-10|2014-06-02|750.00|REDUCED|0.00|2014-06-13||
4303|Keenan Management LLC|February|2014-03-10|2014-06-03|750.00|PAID||||
4308|Lincoln Barber College, Inc.|April|2014-05-12|2014-06-06|625.00|REDUCED|0.00|2014-06-12||
4312|Watson & Carroll, PC, LLO|January|2014-02-10|2014-06-06|750.00|REDUCED|0.00|2014-06-12||
4313|Best Buy Signs|February|2014-03-10|2014-06-09|750.00|REDUCED|0.00|2014-08-22||
3864|Gallup, Inc|April|2012-05-10|2012-05-24|350.00|REDUCED|0.00|2012-06-26||
3871|Behlen Manfacturing Company|March|2011-04-11|2012-06-19|750.00|REDUCED|0.00|2012-07-16||
3873|Ambassador Group/Health System|March|2012-04-10|2012-06-19|750.00|REDUCED|0.00|2012-07-11||
3898|NE Association for Marriage & Family Therapy|May|2012-06-11|2012-09-28|750.00|REDUCED|0.00|2012-10-09||
3911|Plumbers Local Union #16|July|2012-08-10|2012-10-31|750.00|REDUCED|0.00|2012-11-15||
3916|Waitt Outdoor LLC|October|2012-11-13|2012-11-16|75.00|REDUCED|0.00|2012-11-29||
3917|Paul Davis Restortation|October|2012-11-13|2012-11-19|150.00|REDUCED|0.00|2012-12-06||
3925|Eagle Distributing, Inc.|January|2012-10-10|2012-12-17|750.00|PAID|||2013-01-14|
3927|Ambassador Real Estate Co.|December|2013-01-10|2012-01-11|25.00|REDUCED|0.00|2013-01-17||
3931|Prairie Construction Company|December|2013-01-10|2013-01-30|500.00|REDUCED|0.00|2013-02-12||
3937|Dennis D. Weiss, Orthodontist PC|March|2012-04-10|2013-02-13|750.00|REDUCED|0.00|2013-02-22||
3940|See The Trainer|September|2012-10-10|2013-02-11|750.00|REDUCED|0.00|2013-02-22||
3943|EA Engineering, Science & Technology, Inc.|October|2012-11-13|2013-03-01|750.00|REDUCED|0.00|2013-03-11||
3951|The James Skinner Company|December|2013-01-10|2013-01-24|350.00|RED/PAID|25.00|2013-03-12|2013-03-12|
3958|Rhino Dynamics, Inc.|April|2011-05-10|2013-03-06|750.00|REDUCED|0.00|2013-03-26||
3959|Showcase Homes, Inc.|October|2012-11-13|2013-03-06|750.00|REDUCED|0.00|2013-03-22||
3960|Structures Concrete & Paving, Inc.|January|2013-02-11|2013-03-07|600.00|REDUCED|0.00|2013-04-01||
3970|Ron Romero Consulting|January|2013-02-11|2013-03-28|750.00|REDUCED|0.00|2013-04-09||
3974|Graham Enterprises, Inc.|January|2013-02-11|2013-04-17|750.00|REDUCED|0.00|2013-04-25||
3976|Kubat Pharmacy|March|2013-04-10|2013-04-15|125.00|RED/PAID|25.00|2013-05-13|2013-05-13|
3977|Kubat Custom Health Care, Inc.|March|2013-04-10|2013-04-15|125.00|REDUCED|0.00|2013-04-30||
3978|Lanoha Nurseries Inc.|May|2012-06-11|2013-04-15|750.00|REDUCED|0.00|2013-04-25||
3981|Omaha Truck Center, Inc. |May|2012-06-11|2013-04-17|750.00|RED/PAID|25.00|2013-04-30|2013-04-30|
3994|Mechanical Contractors Assn of Omaha|June|2012-07-10|2013-04-15|750.00|REDUCED|0.00|2013-05-01||
3998|General Excavating|March|2013-04-10|2013-05-08|700.00|REDUCED|0.00|2013-05-16||
4000|Lincoln Building & Construction Trades|March|2013-04-10|2013-05-03|575.00|REDUCED|0.00|2013-05-13||
4003|NE Beef LTD|February|2013-03-11|2013-05-13|725.00|PAID|||2013-05-13|
4004|Plumbers Local Union #16 COPE Fund|February|2013-03-11|2013-04-29|750.00|RED/PAID|25.00|2013-05-16|2013-05-16|
4011|Mitchell Management Company|March|2013-04-10|2013-05-17|750.00|REDUCED|0.00|2013-05-23||
4012|Better Business Equipment Co|April|2013-05-10|2013-05-20|250.00|REDUCED|0.00|2013-05-31||
4017|Interior Systems Local Union 1306|April|2013-05-10|2013-05-31|525.00|REDUCED|0.00|2013-06-10||
4030|Cox Communications (KS)|March|2013-04-10|2013-07-03|750.00|REDUCED|0.00|2013-07-10||
4040|Silverstone Group|January|2013-02-11|2013-07-23|750.00|REDUCED|0.00|2013-07-23||
4047|Infrastructure Engineering, Inc.|April|2013-05-10|2013-07-18|750.00|REDUCED|0.00|2013-08-08||
4050|Carlson, Schafer & Davis, PC, LLO|March|2013-04-10|2013-07-22|750.00|REDUCED|0.00|2013-08-09||
4059|Affiliated Companies|May|2013-06-10|2013-08-29|750.00|REDUCED|0.00|2013-09-05||
4063|NE Beef, LTD|August|2013-09-10|2013-09-12|50.00|PAID|||2013-10-09|
4067|Hasselbalch Pharmacy|September|2013-10-10|2013-10-18|200.00|REDUCED|0.00|2013-10-25||
4074|Bridgeport Community Center Foundation|September|2013-10-10|2013-12-02|750.00|REDUCED|0.00|2013-12-12||
4088|IBEW Local 1521|January|2013-12-10|2014-01-10|750.00|RED/PAID|25.00|2014-02-19|2014-02-18|
4108|West Gate Bank|December|2014-01-10|2014-01-29|475.00|REDUCED|0.00|2014-03-07||
4112|Lincoln Machine Inc.|December|2014-01-10|2014-01-28|450.00|REDUCED|0.00|2014-02-13||
4113|Midlands Testing Services|October|2013-11-10|2014-01-23|750.00|REDUCED|0.00|2014-02-21||
4116|Skupa Agency, Inc.|December|2014-01-10|2014-01-17|175.00|REDUCED|0.00|2014-02-14||
4117|Aspen Sales Management System|September|2013-10-10|2014-02-18|750.00|REDUCED|0.00|2014-02-28||
4124|Fraternal Order of Police Lodge #8|September|2013-10-10|2014-02-06|750.00|REDUCED|0.00|2014-02-27||
4126|Garner Industries|December|2014-01-10|2014-02-06|675.00|REDUCED|0.00|2014-02-26||
4128|Lincoln Office Equipment|January|2014-02-10|2014-02-14|100.00|PAID|||2014-03-11|
4132|News Link Incorporated|December|2014-01-10|2014-02-12|750.00|REDUCED|0.00|2014-02-26||
4134|Rent-A-Center, Inc.|July|2013-08-12|2014-02-19|750.00|RED/PAID|25.00|2014-04-10|2014-04-10|
4136|Schwisow Construction, Inc.|October|2013-11-12|2014-02-13|750.00|REDUCED|0.00|2014-02-26||
4138|Tyson Foods, Inc.|September|2013-10-10|2014-02-19|750.00|REDUCED|0.00|2014-02-28||
4148|Farm & Home Insurance Agency, Inc.|January|2014-02-10|2014-02-24|350.00|RED/PAID|25.00|2014-03-19|2014-03-19|
4151|Holdrege Irrigation, Inc.|November|2013-12-10|2014-02-25|750.00|PAID|||2014-02-28|
4154|Keystone Automotive Industries dba LKQ Corporation|June|2013-07-10|2014-03-03|750.00|REDUCED|0.00|2014-03-31||
4156|Kidwell, Inc.|January|2014-02-10|2014-03-03|525.00|REDUCED|0.00|2014-03-19||
4158|Landmark Implement|November|2013-12-10|2014-02-26|750.00|PAID|||2014-02-28|
4161|Mutual of Omaha|July|2013-08-12|2014-02-28|750.00|REDUCED|0.00|2014-03-17||
4163|NE Bank of Commerce|January|2014-02-10|2014-03-04|550.00|REDUCED|0.00|2014-03-19||
4165|Pony Express Chevrolet|December|2014-01-10|2014-02-28|750.00|REDUCED|0.00|2014-03-17||
4166|Sibbernsen, Strigenz & Sibbernsen, PC|December|2014-01-10|2014-02-28|750.00|REDUCED|0.00|2014-03-17||
4171|Commercial Investment Properties|January|2014-02-10|2014-03-07|626.00|REDUCED|0.00|2014-03-20||
4174|Mitchell & Associates, Inc.|February|2013-03-11|2014-03-04|750.00|REDUCED|0.00|2014-03-20||
4247|Plaza Ridge Dental|March|2014-04-10|2014-04-14|100.00|REDUCED|0.00|2014-06-02||
4218|Paul Davis Systems of Omaha|April|2013-05-10|2014-04-03|750.00|RED/PAID|25.00|2014-04-29|2014-04-28|
4219|Pinnacle Bank (Ogallala)|January|2013-08-12|2014-03-10|750.00|REDUCED|0.00|2014-04-10||
4228|Blue Cross Blue Shield of NE|January|2014-02-10|2014-03-27|750.00|REDUCED|0.00|2014-04-21||
4232|Boyd Jones Construction Company|March|2014-04-10|2014-04-22|300.00|REDUCED|0.00|2014-05-14||
4233|Harre Orthodontics|January|2014-02-10|2014-04-23|750.00|REDUCED|0.00|2014-05-15||
4237|Pinnacle Bank (Elkhorn)|February|2014-03-10|2014-04-22|750.00|REDUCED|0.00|2014-05-15||
4240|Ameritas Investment Corporation|March|2014-04-10|2014-04-14|100.00|REDUCED|0.00|2014-06-04||
4243|Cambridge Telephone Company|February|2014-03-10|2014-04-28|750.00|REDUCED|0.00|2014-06-04||
4244|IBEW Local 1483|January|2014-04-10|2014-04-15|125.00|PAID|||2014-05-28|
4249|Rasmussen & Associates|March|2014-04-10|2014-04-29|475.00|REDUCED|0.00|2014-06-06||
4252|DAZE LLC d/b/a Z Media Services|January|2014-04-10|2014-04-15|125.00|REDUCED|0.00|2014-05-30||
4259|Certified Property Management Inc.|April|2014-05-12|2014-05-22|250.00|REDUCED|0.00|2014-05-30||
4265|George Butler Associates, Inc.|April|2014-05-12|2014-05-19|175.00|REDUCED|0.00|2014-06-06||
4271|signs Now Lincoln LLC|January|2014-02-10|2014-05-15|750.00|REDUCED|0.00|2014-05-28||
4274|Val Limited dba Premier Catering|April|2014-05-12|2014-05-21|225.00|REDUCED|0.00|2014-05-30||
3858|Everly Plumbing & Heating, Inc.|February|2012-03-12|2012-06-05|750.00|REDUCED|0.00|2012-06-26||
3869|Roloff Construction Co. (aka L.G.Roloff)|January|2011-11-10|2012-06-07|750.00|RED/PAID|25.00|2012-07-03|2012-07-03|
3872|Walnut Private Equity Partners|May|2012-06-11|2012-06-19|200.00|REDUCED|0.00|2012-07-16||
3877|Kubat Pharmacy, Inc.|May|2012-06-11|2012-07-11|750.00|REDUCED|0.00|2012-07-24||
3878|Plainview News, Inc.|May|2012-06-11|2012-07-20|750.00|REDUCED|0.00|2012-08-03||
3882|IBEW Local 22|January|2012-02-10|2012-08-06|750.00|RED/PAID|25.00|2012-08-23|2012-08-23|
3883|IBEW Local 265|January|2012-02-10|2012-08-06|750.00|REDUCED|0.00|2012-08-15||
3889|Financial Brokerage, Inc.|February|2012-03-12|2012-08-22|750.00|REDUCED|0.00|2012-08-29||
3902|North Platte Professional Firefighters Assn. #831|April|2012-05-10|2012-10-09|750.00|REDUCED|0.00|2012-10-22||
3903|Gtech Corporation|July|2012-08-10|2012-11-13|750.00|PAID|||2012-11-13|
3907|Shelby Lumber Company, Inc.|September|2012-09-10|2012-11-02|750.00|RED/PAID|25.00|2012-11-21|2012-11-21|
3921|HDR, Inc.|March|2012-04-10|2012-12-21|750.00|REDUCED|0.00|2012-12-28||
3923|Verizon Communications|November|2012-12-10|2012-12-14|100.00|REDUCED|0.00|2013-01-11||
3928|NE Optometric Association|October|2012-11-13|2013-01-16|750.00|REDUCED|0.00|2013-01-29||
3930|Archer Daniels Midland Company|December|2013-01-10|2013-02-01|550.00|REDUCED|0.00|8201-02-02||
3957|Perchal Insurance, Inc.|October|2012-11-13|2013-03-05|750.00|REDUCED|0.00|2013-03-22||
3962|Farm Credit Services of America|February|2013-03-11|2013-03-22|275.00|RED/PAID|25.00|2013-04-23|2013-04-22|
3971|C & A Indusstries, Inc.|May|2012-06-11|2013-04-15|750.00|REDUCED|0.00|2013-04-25||
3987|Urban Village|May|2012-06-11|2013-04-18|750.00|REDUCED|0.00|2013-05-01||
3990|Deffenbaugh Industries, Inc.|January|2013-02-11|2013-04-22|750.00|PAID|||2013-07-01|
4001|Marasco, Inc. PC|October|2013-11-13|2013-04-29|750.00|REDUCED|0.00|2013-05-13||
4002|Marianna Industries, Inc.|June|2012-07-10|2013-05-01|750.00|REDUCED|0.00|2013-05-13||
4006|Sentry Electric, Inc.|March|2013-04-10|2013-05-06|650.00|REDUCED|0.00|2013-05-16||
4008|ASI Systems|April|2013-05-10|2013-05-17|175.00|REDUCED|0.00|2013-05-23||
4021|Coventry Health Care of Nebraska|April|2013-05-10|2013-05-30|500.00|PAID|||2013-06-14|
4026|Association of NE Ethanol Producers|March|2013-04-10|2013-05-20|750.00|REDUCED|0.00|2013-07-24||
4038|Midland Business Journal|February|2013-03-11|2013-07-10|750.00|REDUCED|0.00|2013-07-19||
4051|NE Iowa Supply Company, Inc.|February|2013-02-11|2013-07-25|750.00|REDUCED|0.00|2013-08-09||
4075|D.A. Davidson & Company|October|2013-11-12|2013-12-05|750.00|RED/PAID|25.00|2014-01-10|2014-01-10|
4077|DLR Group, Inc|August|2013-09-12|2013-11-19|750.00|PAID|||2013-11-19|
4079|Brester Construction|December|2014-01-10|2014-01-27|425.00|REDUCED||2014-02-13||
4081|Campbell's Nurseries|December|2014-01-10|2014-01-28|450.00|REDUCED|0.00|2014-02-13||
4084|Cornhusker Bank|October|2013-11-12|2014-01-27|750.00|REDUCED|0.00|2014-02-13||
4093|M.T.G. Inc.|January|2014-01-10|2014-01-16|150.00|REDUCED|0.00|2014-02-21||
4098|ReadyTech-Go, Inc. dba RTG Medical|June|2013-07-10|2014-01-30|750.00|REDUCED|0.00|2014-04-14||
4231|Boilermakers Local Lodge No. 83|October|2013-11-12|2014-04-08|750.00|RED/PAID|25.00|2014-05-21|2014-05-21|
4100|ReadyTech-Go, Inc. dba RTG Medical|August|2013-09-10|2014-01-30|750.00|REDUCED|0.00|2014-04-14||
4101|ReadyTech-Go, Inc., dba RTG Medical|November|2013-12-10|2014-01-30|750.00|REDUCED|0.00|2014-04-14||
4102|ReadyTech-Go, Inc. dba RTG Medical|January|2014-01-10|2014-01-30|500.00|PAID|||2014-04-14|
4109|ACLU Nebraska|December|2014-01-10|2014-01-14|100.00|PAID|||2014-03-12|
4118|Brether Farms, Inc.|November|2013-12-10|2014-02-10|750.00|REDUCED|0.00|2014-02-26||
4120|The Clark Enersen Partners, Inc.|December|2014-01-10|2014-02-04|625.00|PAID|||2014-01-13|
4122|F Murdoch Ranch & Farm Inc.|September|2013-10-10|2014-01-23|750.00|REDUCED|0.00|2014-02-20||
4131|Nebco, Inc.|December|2014-01-10|2014-02-14|750.00|PAID|||2014-03-07|
4142|Bank of Hartington|July|2013-08-12|2014-02-28|750.00|REDUCED|0.00|2014-03-17||
4147|Farm & Home Insurance Agency, Inc.|July|2013-08-12|2014-02-24|750.00|REDUCED|0.00|2014-03-19||
4152|Investors Realty, Inc.|February|2013-03-11|2014-03-06|750.00|REDUCED|0.00|2014-03-25||
4153|Investors Realty, Inc.|August|2013-09-10|2014-03-06|750.00|RED/PAID|25.00|2014-03-25|2014-03-24|
4160|Michael W. Meister Attorney at Law, PC LLO|December|2014-01-10|2014-03-06|750.00|PENDING|0.00|2014-03-19||
4172|Diageo North America, Inc.|October|2013-11-12|2014-03-03|750.00|REDUCED|0.00|2014-03-20||
4173|Hoppe, Inc.|January|2014-02-10|2014-03-03|525.00|REDUCED|0.00|2014-03-20||
4179|Planetary Data, Inc.|January|2014-02-10|2014-02-24|350.00|RED/PAID|25.00|2014-03-20|2014-03-20|
4188|DRI Title & Escrow|October|2013-11-12|2014-03-10|750.00|REDUCED|0.00|2014-04-08||
4196|NE State AFL-CIO|January|2014-02-10|2014-03-10|700.00|REDUCED|0.00|2014-05-15||
4203|Clark Creative Group|June|2013-07-10|2014-03-26|750.00|RED/PAID|25.00|2014-05-05|2014-05-05|
4205|Frank Implement Company|February|2014-03-10|2014-04-04|625.00|REDUCED|0.00|2014-05-14||
4209|JEO Consulting Group, Inc.|January|2013-11-12|2014-03-25|750.00|RED/PAID|25.00|2014-04-22|2014-04-22|
4211|Kelley & Jerram PC LLO|July|2013-08-12|2014-03-21|750.00|PAID|||2014-04-17|
4234|Heafey Heafey Hoffman Dworak & Cutler Funeral Chapel|October|2013-11-12|2014-04-22|750.00|REDUCED|0.00|2014-05-15||
4236|NE Horsemen's Benevolent & Protective Association|February|2014-03-10|2014-05-09|750.00|PAID|||2014-05-09|
4241|American Concrete Products Co.|March|2014-04-10|2014-05-02|550.00|REDUCED|0.00|2014-06-02||
4251|Roy's Grand Dodge Chrysler|March|2014-04-10|2014-04-29|475.00|REDUCED|0.00|2014-05-30||
4254|Behlen Mfg Co|March|2014-04-10|2014-05-21|750.00|REDUCED|0.00|2014-06-04||
4255|Bluestone Development LLC|February|2014-03-10|2014-05-16|750.00|REDUCED|-.00|2014-05-28||
4262|Farnam Capital Advisors LLC|April|2014-05-12|2014-05-16|100.00|RED/PAID|25.00|2014-06-05|2014-06-05|
4277|Belgrade LLC|March|2014-04-10|2014-05-19|750.00|REDUCED|0.00|2014-06-02||
4278|Boilermakers Local Lodge No. 83|December|2014-01-10|2014-05-23|750.00|PAID|||2014-06-16|
4280|Kathy Birch LLC|January|2014-02-10|2014-05-20|750.00|REDUCED|0.00|2014-06-02||
4281|Mitchell Implement LLC dba Mitchell Equipment|March|2014-04-10|2014-05-19|750.00|REDUCED|0.00|2014-06-02||
4283|Twin City Roofing & Sheet Metal Inc.|January|2014-02-10|2014-05-23|750.00|REDUCED|0.00|2014-06-02||
4287|AKKASE - Omaha LLC|April|2014-05-12|2014-05-29|425.00|REDUCED|0.00|2014-06-06||
4288|Asbestos Workers Local #39|February|2014-03-10|2014-05-28|750.00|RED/PAID|25.00|2014-06-13|2014-06-13|
4289|Bassett Transportation Unlimited|February|2014-03-10|2014-05-29|750.00|REDUCED|0.00|2014-06-10||
4291|Frank Enterprises, Inc.|March|2014-04-10|2014-05-27|750.00|REDUCED|0.00|2014-06-06||
4292|Husch Blackwell LLP|March|2014-04-10|2014-05-27|750.00|RED/PAID|25.00|2014-06-10|2014-06-10|
4293|Lorensen Lumber & Grain, LLC|April|2014-05-12|2014-05-28|400.00|REDUCED|0.00|2014-06-06||
4294|NE Collectors Association|March|2014-04-10|2014-05-29|750.00|REDUCED|0.00|2014-06-06||
4298|Tri-County Company|April|2014-05-12|2014-05-27|375.00|REDUCED|0.00|2014-06-06||
3859|The Fairmont Group, Inc.|January|2012-02-10|2012-05-30|750.00|REDUCED|0.00|2012-06-22||
3862|Friends of NE Racing, Inc.|February|2012-03-12|2012-06-04|750.00|REDUCED|0.00|2012-06-29||
3863|Friends of NE Racing, Inc.|March|2012-04-10|2012-06-04|750.00|RED/PAID|25.00|2012-06-29|2012-06-29|
3870|Urology Cancer Center|April|2012-05-10|2012-05-29|475.00|REDUCED|0.00|2012-06-26||
3875|Lyman Richey Corporation|December|2012-01-10|2012-05-30|750.00|PAID|||2012-07-30|
3890|The Frazier Company, Inc.|July|2012-08-10|2012-08-23|325.00|REDUCED|0.00|2012-09-04||
3891|Greater Omaha Chamber of Commerce|January|2012-03-12|2012-06-04|750.00|RED/PAID|25.00|2012-09-10|2012-09-10|
3892|PLR, Inc.|June|2012-07-10|2012-08-20|750.00|REDUCED|0.00|2012-08-29||
3899|Power Computing, Inc.|July|2012-08-10|2012-10-04|750.00|REDUCED|0.00|2012-11-05||
3929|Nebraskans for Jobs & Energy Independence|May|2012-06-11|2013-01-17|750.00|REDUCED|0.00|2013-01-29||
3942|Christensen Lumber, Inc.|October|2013-11-13|2013-03-01|750.00|RED/PAID|25.00|2013-03-14|2013-03-14|
3952|B2 Environmental, Inc.|January|2013-03-11|2013-03-12|25.00|REDUCED|0.00|2013-03-27||
3955|Four Aces Kwik Stop|December|2013-01-10|2013-03-06|750.00|REDUCED|0.00|2013-03-22||
3956|L & L Custom Builders, Inc.|January|2012-11-13|2013-03-12|750.00|REDUCED|0.00|2013-03-26||
3966|Westin, Inc.|March|2012-04-10|2013-03-18|750.00|REDUCED|0.00|2013-04-01||
3991|E & A Consulting Group, Inc.|March|2013-04-10|2013-04-25|375.00|RED/PAID|25.00|2013-05-23|2013-05-23|
3992|Mechanical Contractors Assn of Omaha|April|2009-05-11|2013-04-15|750.00|REDUCED|0.00|2013-05-01||
3997|FBG Service Corporation|January|2013-02-11|2013-05-02|750.00|RED/PAID|25.00|2013-06-03|2013-06-03|
4007|Walkers Inc.|June|2013-07-10|2013-04-25|750.00|RED/PAID|25.00|2013-05-15|2013-05-15|
4065|Celebrate Life, Inc.|August|2011-09-12|2013-10-04|750.00|REDUCED|0.00|2013-10-17||
4015|Even Par Auto Leasing|March|2013-04-10|2013-05-22|750.00|REDUCED|0.00|2013-05-31||
4018|Moehn Electrical Sales Company|April|2013-05-10|2013-05-28|450.00|REDUCED|0.00|2013-06-05||
4082|Cather & Sons Construction|November|2013-12-10|2014-01-27|750.00|REDUCED|0.00|2014-02-13||
